الأسم,الموديل,السعر,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات,طرف ثالث,التكميلي (جسم المركبة),المجموع,الدفع
كيا برايد,2007,40000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,140000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
فيات كيوبو,2017,40000.0,رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1300,190,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
داتشيا داستر,2017,60000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,39000,4+1,نقدا فقط,للبيع أو التبديل,يد صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1050,1985,دفع أمامي
هونداي توسان,2012,58500.0,أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,130000,4+1,نقدا فقط,للبيع أو التبديل,يد رابعه,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1024,2364,دفع أمامي
فولكسفاجن جولف,2009,55000.0,أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,140000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
كيا سبورتاج,2018,133000.0,أحمر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2328,3668,دفع رباعي 4x4
مرسيدس 814,1998,30000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,يدوي,2500,85225,2+1,نقدا فقط,للبيع فقط,,,845,500,1345,دفع خلفي
فولكسفاجن باسات,2005,35000.0,بني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
كيا سبورتاج,2017,98000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1700,58000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1716,3055,دفع أمامي
سكودا اوكتافيا,2021,163500.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,42000,4+1,نقدا فقط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1340,2862,4202,
سكودا اوكتافيا,2011,50000.0,أبيض,بنزين,عمومي,فلسطينية,عادي,الكتروني,1600,,4+1,نقدا فقط,للبيع فقط,,,1340,1000,2340,
باص ٢١٢,1999,23000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,يدوي,3000,,6+1,نقدا فقط,للبيع فقط,يد ثانيه,مسجل CD,845,500,1345,
بيجو 307,2007,24999.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
كيا برايد,2015,49500.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,
كيا سبورتاج,2012,82000.0,سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,150000,4+1,نقدا فقط,للبيع فقط,,,1340,1436,2775,دفع رباعي 4x4
,,,,,,,,,,,,,,,,,,,
اودي A8,2012,195000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,166000,4+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3413,5103,دفع رباعي 4x4
هونداي سانتافيه,2007,45000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,25000,6+1,نقدا فقط,للبيع أو التبديل,٥,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1000,2690,دفع أمامي
كيا بيكانتو,2020,69000.0,عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,30000,4+1,إمكانية التقسيط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1208,2143,دفع أمامي
فورد فوكس,2016,70000.0,كحلي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,70000,4+1,إمكانية التقسيط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1226,2565,دفع أمامي
هونداي i30,2008,42000.0,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,155000,4+1,نقدا فقط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,
كيا سورينتو,2019,184999.0,كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,30000,6+1,نقدا فقط,للبيع فقط,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3238,4928,دفع رباعي 4x4
مرسيدس E200,2007,75000.0,أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,4+1,نقدا فقط,للبيع فقط,,,1340,1313,2653,دفع خلفي
هونداي افانتي,2005,36000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,00000000,4+1,نقدا فقط,للبيع فقط,4,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
,,,,,,,,,,,,,,,,,,,
اوبل استرا,2006,30000.0,كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,1111111,4+1,نقدا فقط,للبيع فقط,٣,"مُكيّف
مسجل CD
جنطات مغنيسيوم
فرش جلد",1340,1000,2340,دفع أمامي
بي ام دبليو X5,2008,100000.0,رمادي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,1234,6+1,إمكانية التقسيط,للبيع أو التبديل,٣,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1751,3440,دفع رباعي 4x4
كيا ريو,2016,72000.0,أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,15000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1261,2295,دفع أمامي
سيت ارونا,2020,103999.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,28000,4+1,إمكانية التقسيط,للبيع أو التبديل,استيراد الماني,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1820,2755,دفع أمامي
سوبارو ستيشن,1986,22000.0,فضي,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,200000,4+1,نقدا فقط,للبيع فقط,٦,,670,500,1170,دفع أمامي
اوبل كورسا,2014,43000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,151000,4+1,نقدا فقط,للبيع فقط,يد ٣,"مُكيّف
إغلاق مركزي
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,دفع أمامي
هونداي جيتس,2004,26500.0,سكني,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,1400,400,4+1,نقدا فقط,للبيع فقط,4,,1035,1000,2035,دفع أمامي
بي ام دبليو 523,2010,120000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2500,2121212212,4+1,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2100,3790,دفع خلفي
بي ام دبليو  330i,2006,8000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,4+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,1000,2690,دفع خلفي
مرسيدس E320,1999,55000.0,فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3200,,4+1,إمكانية التقسيط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",845,500,1345,دفع خلفي
بيجو بارتنر,2017,85000.0,فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,100000,6+1,نقدا فقط,للبيع فقط,ايد اولى,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1488,2828,دفع خلفي
لاندروفر رينج روفر,2012,180000.0,أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,5+1,نقدا فقط,للبيع أو التبديل,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3151,4840,دفع رباعي 4x4
سكودا كودياك,2018,170000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,34000,6+1,نقدا فقط,للبيع فقط,يد اولا,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2976,4315,دفع رباعي 4x4
فولكسفاجن جولف,2008,40000.0,فضي,ديزل,تدريب سياقة,فلسطينية,عادي,الكتروني,2000,0088000000,4+1,إمكانية التقسيط,للبيع أو التبديل,8,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1000,2340,
فولكسفاجن تيجوان,2017,155000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000,4+1,إمكانية التقسيط,للبيع فقط,اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2713,4053,
بيجو 301,2014,38000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,0000,4+1,نقدا فقط,للبيع فقط,0,"مُكيّف
إغلاق مركزي
مسجل CD
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
هونداي فينيو,2021,102000.0,أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,6000,4+1,نقدا فقط,للبيع أو التبديل,صفر,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1786,3125,دفع أمامي
سكودا فابيا,2014,56000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,150000,4+1,نقدا فقط,للبيع أو التبديل,ايد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,دفع أمامي
سكودا فابيا,2002,22000.0,أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,260,4+1,نقدا فقط,للبيع فقط,......,"مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",670,500,1170,
هونداي توسان,2018,127000.0,بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,56000,4+1,نقدا فقط,للبيع فقط,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2223,3563,دفع أمامي
هونداي سانتافيه,2017,117000.0,أبيض عاجي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,84000,6+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2048,3388,دفع أمامي
هونداي اكسنت,2013,52000.0,رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,,4+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,1000,2035,دفع أمامي
فولكسفاجن باسات,2004,32000.0,أبيض,ديزل,عمومي,فلسطينية,اوتوماتيك,الكتروني,1900,240,4+1,نقدا فقط,للبيع فقط,يد ثانيه,"مُكيّف
جهاز إنذار
مسجل CD
فرش جلد",1340,1000,2340,دفع أمامي
بي ام دبليو 520,2016,160000.0,سكني,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,,4+1,إمكانية التقسيط,للبيع أو التبديل,2,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2801,4140,
سكودا اوكتافيا,2014,78000.0,أسود,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,187000,4+1,نقدا فقط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1366,2705,دفع أمامي
كيا سورينتو,2018,143000.0,فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,110,6+1,نقدا فقط,للبيع فقط,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,2503,4193,دفع رباعي 4x4
فورد فوكس,2014,55000.0,أسود,بنزين,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,1600,120000,4+1,نقدا فقط,للبيع أو التبديل,يد اولا,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
فولكسفاجن GTI,2010,67000.0,أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,110000,4+1,نقدا فقط,للبيع فقط,6,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1340,1173,2513,دفع أمامي
سكودا اوكتافيا,2020,128000.0,فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,74000,4+1,نقدا فقط,للبيع فقط,5,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2240,3580,دفع أمامي
,,,,,,,,,,,,,,,,,,,
سكودا سكالا,2019,125000.0,أحمر,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,40000,,إمكانية التقسيط,للبيع أو التبديل,يد اولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,2188,3528,دفع أمامي
كيا برايد,2008,38000.0,سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,200000,4+1,نقدا فقط,للبيع فقط,يد ثالثة,,1035,1000,2035,دفع أمامي
سوبارو B3,2008,35000.0,سكني,بنزين,تدريب سياقة,فلسطينية,عادي,الكتروني,1500,,,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1000,2035,دفع أمامي
فولكسفاجن بولو,2019,82000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,63000,4+1,إمكانية التقسيط,للبيع أو التبديل,مستوردة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
وسادة حماية هوائية",935,1436,2370,دفع أمامي
كيا مورننغ,2018,55000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,50000,4+1,نقدا فقط,للبيع فقط,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",935,1000,1935,دفع أمامي
بيجو 207,2008,23000.0,خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,120,4+1,نقدا فقط,للبيع فقط,٤,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1340,1000,2340,دفع أمامي
بيجو بارتنر,2016,64000.0,أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,123000,4+1,إمكانية التقسيط,للبيع فقط,2,"مُكيّف
إغلاق مركزي
مسجل CD
فرش جلد
وسادة حماية هوائية",1340,1120,2460,
سيت ابيزا,2013,52000.0,أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,120,145,4+1,نقدا فقط,للبيع أو التبديل,يد ثالثة,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",935,1000,1935,دفع أمامي
هونداي H1,2010,45000.0,سكني,ديزل,عمومي,فلسطينية,عادي,الكتروني,2500,,7+1,إمكانية التقسيط,للبيع فقط,3,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1690,1000,2690,دفع خلفي
فورد كوجا,2017,125000.0,فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,55000,4+1,إمكانية التقسيط,للبيع أو التبديل,يد أولى,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1035,2188,3223,دفع رباعي 4x4
كيا سورينتو,2021,215000.0,أسود,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,,5+1,إمكانية التقسيط,للبيع أو التبديل,,"مُكيّف
إغلاق مركزي
جهاز إنذار
مسجل CD
فتحة سقف
جنطات مغنيسيوم
فرش جلد
وسادة حماية هوائية",1690,3763,5453,دفع أمامي
فورد فوكس,2017,70000.0,أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1500,90,4+1,نقدا فقط,للبيع أو التبديل,1,"مُكيّف
جهاز إنذار
مسجل CD
جنطات مغنيسيوم
وسادة حماية هوائية",1035,1226,2260,دفع أمامي
